row,subsystem,seq,name,unit,qty
5,信息网络系统（专用网）,1,核心交换机,套,2.0
6,信息网络系统（专用网）,2,24口汇聚交换机,台,12.0
7,信息网络系统（专用网）,3,24口接入交换机,台,29.0
8,信息网络系统（专用网）,4,24口POE交换机,台,88.0
9,信息网络系统（专用网）,5,24口工业交换机,台,2.0
10,信息网络系统（专用网）,6,万兆多模光模块,个,48.0
11,信息网络系统（专用网）,7,万兆光模块（单模）,个,528.0
12,信息网络系统（专用网）,8,48口汇聚交换机,台,1.0
13,信息网络系统（专用网）,9,接入网关,台,1.0
14,信息网络系统（内网）,10,核心交换机（内网）,套,2.0
15,信息网络系统（内网）,11,48口汇聚交换机,台,8.0
16,信息网络系统（内网）,12,24口汇聚交换机,台,8.0
17,信息网络系统（内网）,13,48口接入交换机,台,147.0
18,信息网络系统（内网）,14,24口接入交换机,台,15.0
19,信息网络系统（内网）,15,内网无线控制器,台,1.0
20,信息网络系统（内网）,16,内网无线汇聚交换机,台,8.0
21,信息网络系统（内网）,17,内网无线汇聚交换机,台,2.0
22,信息网络系统（内网）,18,零漫游AP主机,台,92.0
23,信息网络系统（内网）,19,单股5米射频线缆,条,117.0
24,信息网络系统（内网）,20,单股10米射频线缆,条,200.0
25,信息网络系统（内网）,21,单股15米射频线缆,条,300.0
26,信息网络系统（内网）,22,室内美化天线,台,617.0
27,信息网络系统（内网）,23,放装AP,台,710.0
28,信息网络系统（内网）,24,高密AP,台,18.0
29,信息网络系统（内网）,25,24口POE交换机,台,149.0
30,信息网络系统（内网）,26,8口POE交换机,台,8.0
31,信息网络系统（内网）,27,万兆光模块（单模）,个,652.0
32,信息网络系统（内网）,28,统一网管&准入认证,套,1.0
33,信息网络系统（内网）,29,万兆多模光模块,个,48.0
34,信息网络系统（内网）,30,万兆光模块（单模）,个,1304.0
35,信息网络系统（内网）,31,40G单模光模块,个,80.0
36,信息网络系统（内网）,32,40km光模块,个,24.0
37,信息网络系统（内网）,33,堆叠线,条,188.0
38,信息网络系统（外网）,34,核心交换机主机,套,2.0
