section,group,seq,name,unit,qty,model,alias,price,total
,,11,电源时序器,台,2,EC-PNC809,8路网络时序电源,903,1806
,,12,辅材,项,2,,,,0
三、1F培训教室（三）（155.92㎡）,,12,电源时序器,台,1,EC-PNC809,8路网络时序电源,903,903
三、1F培训教室（三）（155.92㎡）,,10,8进8出HDMI 4K无缝矩阵,台,1,高清矩阵8路,EMeta-JZ-M0808S,1720,1720
四、1F智慧教室（157.19㎡）,,8,电源时序器,台,1,EC-PNC809,8路网络时序电源,903,903
四、1F智慧教室（157.19㎡）,,8,8进8出HDMI 4K无缝矩阵,台,1,高清矩阵8路,EMeta-JZ-M0808S,1720,1720
七、2F多功能培训室（149.11㎡）,,7,电源时序器,台,1,EC-PNC809,8路网络时序电源,903,903
七、2F多功能培训室（149.11㎡）,,11,8进8出HDMI 4K无缝矩阵,台,1,高清矩阵8路,EMeta-JZ-M0808S,1720,1720
十二、3F会议室（一）（173㎡）,会议发言扩声系统,7,电源时序器,台,1,EC-PNC809,8路网络时序电源,903,903
十三、3F会议室（二）（87.12㎡）,,9,电源时序器,台,1,EC-PNC809,8路网络时序电源,903,903
十四、3F会议室（三）（88.56㎡）,,9,电源时序器,台,1,EC-PNC809,8路网络时序电源,903,903
十五、3F多功能厅（338㎡）,信号管理综合运维管理系统,1,高清混合管理矩阵,台,1,智能插卡中控主机,EMeta-WL5000,5060,5060
十五、3F多功能厅（338㎡）,信号管理综合运维管理系统,2,4路 无缝 HDMI信号输入卡,块,2,插卡中控-4路输入4路输出卡,EMeta-WL5000-RH,820,1640
十五、3F多功能厅（338㎡）,信号管理综合运维管理系统,3,4路 无缝 HDMI信号输出卡,块,3,插卡中控-4路输入4路输出卡,EMeta-WL5000-RH,820,2460
十五、3F多功能厅（338㎡）,信号管理综合运维管理系统,4,综合运维控制平台,台,1,插卡中控-核心板,EMeta-WL5000-CORE,1620,1620
十五、3F多功能厅（338㎡）,信号管理综合运维管理系统,5,系统监测模块,套,1,,定制,5000,5000
十五、3F多功能厅（338㎡）,信号管理综合运维管理系统,6,日志及查询模块,套,1,,定制,5000,5000
十五、3F多功能厅（338㎡）,信号管理综合运维管理系统,7,资产管理模块,套,1,,定制,5000,5000
十五、3F多功能厅（338㎡）,信号管理综合运维管理系统,8,联网扩展模块（12口）,个,1,八串口服务器,EMeta-RS6608,1520,1520
十五、3F多功能厅（338㎡）,信号管理综合运维管理系统,9,红外存储网络模块,台,3,网络八路红外扩展器,EMeta-IR-8RJ45,610,1830
十五、3F多功能厅（338㎡）,信号管理综合运维管理系统,10,网络电源控制器,台,1,8路网络继电器,EMeta-REL08-1U,998,998
十五、3F多功能厅（338㎡）,信号管理综合运维管理系统,11,智能电源监测管理器,台,2,21路智能时序电源,EMeta-PNC218,2040,4080
十五、3F多功能厅（338㎡）,信号管理综合运维管理系统,12,平板,台,1,,,,0
十五、3F多功能厅（338㎡）,信号管理综合运维管理系统,13,路由器,台,1,,,,0
十六、4F会议室（一）（200㎡）,,9,电源时序器,台,1,EC-PNC809,8路网络时序电源,903,903
十七、4F无纸化智慧会议室（127.22㎡）,会议发言扩声系统,1,全数字化会议系统主机,台,1,EM-PM-CHM9,数字会议主机,1960,1960
十七、4F无纸化智慧会议室（127.22㎡）,会议发言扩声系统,2,嵌入式全数字化会议主席发言单元,台,1,EM-PM-CHM9T1,升降器数字会议话筒,320,320
